Rank,Domain,Banning Authority,Locale,Type of site,Subcategory,Date blocked
-1,radioiqobmdfpjjih.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/17/22
-1,radiojwrftutagufp.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/6/22
-1,radiooxqmjytjqnty.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/19/22
-1,radiopghpdojvlhzy.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/11/22
-1,radioqyaificxijad.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/8/22
-1,radioyrdvgfcfshfv.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/9/22
-1,radiozacrxexibinz.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/12/22
-1,semnadpbeyhyoeorr.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/20/22
-1,semnafrjahkoeeicz.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/8/22
-1,semnahudnxdwthkwv.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/19/22
-1,semnantscjechynqw.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/18/22
-1,semnanyoufapjuipo.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/10/22
-1,semnaodnabsotcgws.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/12/22
-1,semnapavftaiplpdx.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/6/22
-1,severgihrbkeylxfp.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/18/22
-1,severgugxhcgppagl.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/9/22
-1,severksosviuxsbbk.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/11/22
-1,severltnfposbnixi.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/10/22
-1,severomiksjhlgysw.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/20/22
-1,severopiicxjyeqoa.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/5/22
-1,severrttzevnkkjcm.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/6/22
-1,seversvnfioiwylyg.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/17/22
-1,severutkihwynyifw.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/8/22
-1,severxhzdqgogvjro.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/19/22
-1,severxrowjhcadprr.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/12/22
-1,sibrecmnmziutnule.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/10/22
-1,sibrecmwmaftzaptg.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/19/22
-1,sibrejuwyvxxujxtg.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/17/22
-1,sibreniptgdukyqat.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/11/22
-1,sibrepcgujgdlnbmn.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/12/22
-1,sibreqmnbekpgduqp.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/18/22
-1,sibrevajzekqixqdj.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/8/22
-1,sibreveckwyjxisvh.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/5/22
-1,sibrevzarychstale.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/20/22
-1,sibrexbcgozhmvusf.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/6/22
-1,svobodbitqbwtlvsv.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/17/22
-1,svobofvavaumwhqyk.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/6/22
-1,svobojvqzphwyfjoz.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/19/22
-1,svobonykuloarbggj.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/8/22
-1,svobooezljfumxosu.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/12/22
-1,svoboohtwjvagysis.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/20/22
-1,svoboqrfstuxtdbjo.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/5/22
-1,svobotgpxokosfobe.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/11/22
-1,svobouhmaagsabklw.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/9/22
-1,svobowyodgxkhkgsh.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/10/22
-1,svobozkgkrmrmatpv.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/18/22
-1,freeburyatia.org,Office of the Prosecutor General,United States,Digital Resistance,Russian Dissidents,7/13/22
-1,oceanic-gecko-352922.appspot.com,Office of the Prosecutor General,Russia,News,Mirror (Mediazona),7/7/22
-1,turing-diode-356610.appspot.com,Office of the Prosecutor General,Russia,News,Mirror (Mediazona),7/20/22
-1,utopian-cistern-355811.appspot.com,Office of the Prosecutor General,Russia,News,Mirror (Mediazona),7/15/22
-1,agentawcictvznsry.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/27/22
-1,agentbjxuhldezjnv.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/24/22
-1,agentcxaxefbmttgn.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),8/6/22
-1,agentfwlstlxfavkb.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/30/22
-1,agentjkrvdzipzdmd.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/22/22
-1,agentknvnxessvquo.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),8/2/22
-1,agentlvpsyetirlil.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),8/7/22
-1,agentmzrncsqioywf.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),7/26/22
-1,agentoisubknclulg.azureedge.net,Office of the Prosecutor General,United States,News,Mirror (RL),8/5/22
