Rank,Domain,Banning Authority,Locale,Type of site,Subcategory,Date blocked
2,facebook.com,Office of the Prosecutor General,United States,Social Media,-,3/4/22
8,twitter.com,Office of the Prosecutor General,United States,Social Media,-,3/4/22
9,instagram.com,Office of the Prosecutor General,United States,Social Media,-,3/13/22
138,bbc.com,Office of the Prosecutor General,United Kingdom,News,Public Broadcaster,3/27/22
290,aol.com,Office of the Prosecutor General,United States,News,International News,5/20/22
320,npr.org,Office of the Prosecutor General,United States,News,Public Broadcaster,3/24/22
328,telegraph.co.uk,Office of the Prosecutor General,United Kingdom,News,International News,6/20/22
330,grammarly.com,Office of the Prosecutor General,United States,Digital Resistance,Ukraine Support Content,8/6/22
370,pixabay.com,Office of the Prosecutor General,United States,Digital Resistance,Ukraine Support Content,7/7/22
379,patreon.com,Office of the Prosecutor General,United States,Digital Resistance,Fundraising,8/6/22
545,mailchi.mp,Office of the Prosecutor General,Russia,News,Independent News,8/2/22
741,chess.com,Office of the Prosecutor General,United States,News,Specialist News,3/27/22
744,messenger.com,Office of the Prosecutor General,United States,Messaging,-,4/23/22
819,dw.com,Office of the Prosecutor General,Germany,News,Public Broadcaster,4/17/22
1303,infobae.com,Office of the Prosecutor General,Argentina,News,International News,8/3/22
1384,bild.de,Office of the Prosecutor General,Germany,News,Tabloid News,3/16/22
1463,euronews.com,Office of the Prosecutor General,France,News,International News,4/15/22
1607,hostinger.com,Office of the Prosecutor General,Lithuania,Digital Resistance,Ukraine Support Content,4/20/22
1722,welt.de,Office of the Prosecutor General,Germany,News,International News,9/7/22
2046,proton.me,Office of the Prosecutor General,Switzerland,Digital Resistance,Anti-censorship tools,7/28/22
2343,hrw.org,Office of the Prosecutor General,United States,Civil Society,Human Rights,3/27/22
2362,depositphotos.com,Office of the Prosecutor General,United States,Digital Resistance,Ukraine Support Content,6/7/22
2682,pscp.tv,Office of the Prosecutor General,United States,Social Media,-,7/27/22
3098,oxu.az,Office of the Prosecutor General,Azerbaijan,News,International News,3/13/22
3226,yle.fi,Office of the Prosecutor General,Finland,News,Public Broadcaster,1/6/22
3325,rfi.fr,Office of the Prosecutor General,France,News,Public Broadcaster,3/27/22
3760,jooble.org,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,3/17/22
3891,ukr.net,Office of the Prosecutor General,Ukraine,News,News Aggregator,2/27/22
5068,pravda.com.ua,Office of the Prosecutor General,Ukraine,News,National News,3/27/22
5089,rferl.org,Office of the Prosecutor General,United States,News,Radio Free Europe/Radio Liberty,7/6/22
5360,delfi.lt,Office of the Prosecutor General,Lithuania,News,International News,3/13/22
5817,liveuamap.com,Office of the Prosecutor General,United States,News,International News,7/15/22
6647,is.fi,Office of the Prosecutor General,Finland,News,Tabloid News,3/27/22
6842,meduza.io,Office of the Prosecutor General,Latvia,News,Independent News,3/27/22
7321,unian.net,Office of the Prosecutor General,Ukraine,News,Domestic News Agency,3/19/22
9177,picuki.com,Office of the Prosecutor General,United States,Social Media,-,7/27/22
9228,hs.fi,Office of the Prosecutor General,Finland,News,International News,5/26/22
9266,in.gr,Office of the Prosecutor General,Greece,News,International News,3/22/22
9583,riseup.net,Office of the Prosecutor General,International,Digital Resistance,Activism,3/27/22
10490,obozrevatel.com,Office of the Prosecutor General,Ukraine,News,National News,4/17/22
10501,tsn.ua,Office of the Prosecutor General,Ukraine,News,TV Channel,4/17/22
10534,bigmir.net,Office of the Prosecutor General,Ukraine,News,News Aggregator,2/27/22
11411,korrespondent.net,Office of the Prosecutor General,Ukraine,News,National News,3/15/22
11582,censor.net,Office of the Prosecutor General,Ukraine,News,National News,4/19/22
11976,onlineradiobox.com,Office of the Prosecutor General,Poland,Internet Radio & Podcasts,Internet Radio,2/27/22
12026,radiopublic.com,Office of the Prosecutor General,United States,Internet Radio & Podcasts,Podcasts,7/27/22
12065,postimees.ee,Office of the Prosecutor General,Estonia,News,International News,3/27/22
12495,haqqin.az,Office of the Prosecutor General,Azerbaijan,News,Specialist News,3/16/22
12947,nv.ua,Office of the Prosecutor General,Ukraine,News,National News,3/16/22
13453,interfax.com.ua,Office of the Prosecutor General,Russia,News,International News Agency,3/27/22
13762,president.gov.ua,Office of the Prosecutor General,Ukraine,Government,Office of the President,5/19/22
13831,idealmedia.io,Office of the Prosecutor General,Ukraine,News,News Aggregator,4/20/22
14369,sakh.com,Office of the Prosecutor General,Russia,News,Local News,8/5/22
14442,pca.st,Office of the Prosecutor General,United States,Internet Radio & Podcasts,Podcasts,7/27/22
14651,liga.net,Office of the Prosecutor General,Ukraine,News,National News,3/16/22
14757,nitter.net,Office of the Prosecutor General,Finland,Social Media,-,8/2/22
14925,wikiart.org,Office of the Prosecutor General,United States,Digital Resistance,Ukraine Support Content,4/22/22
16066,kaleido.ai,Office of the Prosecutor General,Austria,Digital Resistance,Ukraine Support Content,7/13/22
16407,bellingcat.com,Office of the Prosecutor General,International,Civil Society,Media - Investigations,3/27/22
16665,rbc.ua,Office of the Prosecutor General,Ukraine,News,National News,3/16/22
17844,meta.ua,Office of the Prosecutor General,Ukraine,News,National News,4/24/22
18424,svoboda.org,Office of the Prosecutor General,United States,News,Radio Free Europe/Radio Liberty,3/21/22
18604,politiken.dk,Office of the Prosecutor General,Denmark,News,International News,5/26/22
18619,leafletjs.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,3/31/22
19505,exler.ru,Office of the Prosecutor General,Russia,Blog,Critical content,5/17/22
20009,noxinfluencer.com,Office of the Prosecutor General,Hong Kong,Online Marketing,-,7/27/22
20034,polskieradio.pl,Office of the Prosecutor General,Poland,News,Public Broadcaster,4/17/22
20262,hiveon.com,Office of the Prosecutor General,Switzerland,Financial,Crypto,5/15/22
20796,occrp.org,Office of the Prosecutor General,International,News,Independent News,8/1/22
21319,24tv.ua,Office of the Prosecutor General,Ukraine,News,TV Channel,3/16/22
21602,segodnya.ua,Office of the Prosecutor General,Ukraine,News,Tabloid News,4/17/22
21716,pap.pl,Office of the Prosecutor General,Poland,News,Domestic News Agency,3/27/22
21846,vgorode.ua,Office of the Prosecutor General,Ukraine,News,National News,3/27/22
22460,kp.ua,Office of the Prosecutor General,Ukraine,News,National News,4/22/22
23247,tvrain.ru,Office of the Prosecutor General,Russia,News,TV Channel,3/31/22
23778,boell.de,Office of the Prosecutor General,Germany,News,International News,7/22/22
24396,focus.ua,Office of the Prosecutor General,Ukraine,News,National News,3/27/22
24569,unian.ua,Office of the Prosecutor General,Ukraine,News,Domestic News Agency,4/7/22
24865,ukrinform.ua,Office of the Prosecutor General,Ukraine,News,Domestic News Agency,3/27/22
25230,minfin.com.ua,Office of the Prosecutor General,Ukraine,News,Specialist News,3/30/22
26104,lb.ua,Office of the Prosecutor General,Ukraine,News,National News,3/27/22
26798,mailtrap.io,Office of the Prosecutor General,United States,Digital Resistance,Ukraine Support Content,3/23/22
27152,snob.ru,Office of the Prosecutor General,Russia,Cultural,Magazine,3/15/22
27354,charter97.org,Office of the Prosecutor General,Belarus,News,Specialist News,4/23/22
27678,currenttime.tv,Office of the Prosecutor General,United States,News,TV Channel,4/15/22
27708,gazeta.ua,Office of the Prosecutor General,Ukraine,News,National News,4/29/22
28570,zello.com,Office of the Prosecutor General,United States,Messaging,-,4/24/22
28643,epravda.com.ua,Office of the Prosecutor General,Ukraine,News,Specialist News,4/19/22
28647,letyshops.com,Office of the Prosecutor General,Hungary,Digital Resistance,Ukraine Support Content,5/14/22
28810,voltairenet.org,Office of the Prosecutor General,France,News,International News,7/27/22
29294,gordonua.com,Office of the Prosecutor General,Ukraine,News,National News,4/22/22
29318,eurointegration.com.ua,Office of the Prosecutor General,Ukraine,News,Specialist News,3/19/22
29568,zn.ua,Office of the Prosecutor General,Ukraine,News,National News,3/16/22
30474,newizv.ru,Office of the Prosecutor General,Russia,News,Independent News,3/13/22
30764,serpstat.com,Office of the Prosecutor General,Ukraine,Online Marketing,-,3/27/22
31113,sport.ua,Office of the Prosecutor General,Ukraine,News,Specialist News,3/17/22
31279,znanija.com,Office of the Prosecutor General,Poland,Education,Information Resource,5/25/22
31660,azerforum.com,Office of the Prosecutor General,Azerbaijan,News,International News,3/27/22
32418,ukranews.com,Office of the Prosecutor General,Ukraine,News,Domestic News Agency,3/27/22
33043,suspilne.media,Office of the Prosecutor General,Ukraine,News,Radio Station,5/30/22
33259,hostinger.ru,Office of the Prosecutor General,Lithuania,Digital Resistance,Ukraine Support Content,3/30/22
33564,newsru.co.il,Office of the Prosecutor General,Russia,News,Specialist News,3/20/22
34245,the-village.ru,Office of the Prosecutor General,Russia,Lifestyle,Critical content,3/27/22
34903,tochka.net,Office of the Prosecutor General,Ukraine,Lifestyle,Critical Content,3/13/22
35726,theins.ru,Office of the Prosecutor General,Ukraine,News,Mirror (Insider),7/15/22
36182,radiosvoboda.org,Office of the Prosecutor General,United States,News,Radio Free Europe/Radio Liberty,3/17/22
36706,mignews.com,Office of the Prosecutor General,Ukraine,News,National News,4/20/22
37628,sq.com.ua,Office of the Prosecutor General,Ukraine,News,Regional News,4/20/22
37686,football.ua,Office of the Prosecutor General,Ukraine,News,Specialist News,2/27/22
37806,boell.org,Office of the Prosecutor General,Germany,News,International News,7/22/22
38493,glavcom.ua,Office of the Prosecutor General,Ukraine,News,National News,4/28/22
38626,kyivindependent.com,Office of the Prosecutor General,Ukraine,News,Independent News,3/21/22
39215,unn.com.ua,Office of the Prosecutor General,Ukraine,News,Domestic News Agency,3/26/22
40965,newtimes.ru,Office of the Prosecutor General,Russia,News,Independent News,3/13/22
41961,hyperhost.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,4/19/22
42414,tiu.ru,Office of the Prosecutor General,Russia,Digital Resistance,Ukraine Support Content,3/26/22
42602,finance.ua,Office of the Prosecutor General,Ukraine,Financial,Comparison,5/14/22
42660,hromadske.ua,Office of the Prosecutor General,Ukraine,News,Public Broadcaster,4/17/22
42838,ua-football.com,Office of the Prosecutor General,Ukraine,News,Specialist News,3/17/22
44285,zona.media,Office of the Prosecutor General,Russia,News,Independent News,3/17/22
44862,delo.ua,Office of the Prosecutor General,Ukraine,News,Specialist News,4/20/22
45496,me-qr.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,3/27/22
46479,fakty.ua,Office of the Prosecutor General,Ukraine,News,Tabloid News,4/15/22
46698,glavred.info,Office of the Prosecutor General,Ukraine,News,Independent News,3/27/22
47209,vesti.ua,Office of the Prosecutor General,Ukraine,News,National News,4/27/22
48079,9tv.co.il,Office of the Prosecutor General,Israel,News,TV Channel,3/27/22
48357,zaxid.net,Office of the Prosecutor General,Ukraine,News,National News,2/24/22
48963,podrobnosti.ua,Office of the Prosecutor General,Ukraine,News,TV Channel,3/16/22
49076,zerkalo.io,Office of the Prosecutor General,Belarus,News,International News,3/15/22
49364,ukrinform.ru,Office of the Prosecutor General,Ukraine,News,National News,3/16/22
49578,comments.ua,Office of the Prosecutor General,Ukraine,News,National News,3/31/22
50365,online.ua,Office of the Prosecutor General,Ukraine,News,News Aggregator,3/27/22
50738,ain.ua,Office of the Prosecutor General,Ukraine,News,Specialist News,3/27/22
51418,smi.today,Office of the Prosecutor General,Ukraine,News,News Aggregator,5/18/22
52002,apostrophe.ua,Office of the Prosecutor General,Ukraine,News,Independent News,3/22/22
52429,dialog.ua,Office of the Prosecutor General,Ukraine,News,Specialist News,3/27/22
53026,rainviewer.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,3/16/22
53068,5.ua,Office of the Prosecutor General,Ukraine,News,TV Channel,3/15/22
53093,zahav.ru,Office of the Prosecutor General,Russia,News,Specialist News,3/30/22
53479,sobesednik.ru,Office of the Prosecutor General,Russia,News,Independent News,3/6/22
54417,zhzh.info,Office of the Prosecutor General,Ukraine,News,Blog,4/15/22
55132,fakty.com.ua,Office of the Prosecutor General,Ukraine,News,National News,4/15/22
55752,internetua.com,Office of the Prosecutor General,Ukraine,News,Specialist News,3/31/22
56272,oll.tv,Office of the Prosecutor General,Ukraine,Cultural,Ukrainian Media,3/27/22
56319,belsat.eu,Office of the Prosecutor General,Belarus,News,TV Channel,4/26/22
56742,kavkaz-uzel.eu,Office of the Prosecutor General,Russia,News,Regional News,4/16/22
57100,slovoidilo.ua,Office of the Prosecutor General,Ukraine,Civil Society,Fact Checking,4/22/22
57153,vesty.co.il,Office of the Prosecutor General,Israel,News,International News,3/27/22
57639,dumskaya.net,Office of the Prosecutor General,Russia,News,Regional News,3/16/22
57738,golosameriki.com,Office of the Prosecutor General,United States,News,Public Broadcaster,4/22/22
57876,forbes.ua,Office of the Prosecutor General,United States,News,International News,4/20/22
58217,refactoring.guru,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,4/27/22
59161,moz.gov.ua,Office of the Prosecutor General,Ukraine,Government,Ministry (Health),3/23/22
61687,telegraf.com.ua,Office of the Prosecutor General,Ukraine,News,National News,3/27/22
62705,gagadget.com,Office of the Prosecutor General,Ukraine,News,Specialist News,6/27/22
63871,mixnews.lv,Office of the Prosecutor General,Latvia,News,International News,7/13/22
64413,cursorinfo.co.il,Office of the Prosecutor General,Israel,News,International News,4/24/22
64972,zohomail.com,Office of the Prosecutor General,India,Messaging,-,5/20/22
65437,greatfon.com,Office of the Prosecutor General,United States,Social Media,-,7/27/22
65841,point.md,Office of the Prosecutor General,Moldova,News,News Aggregator,6/16/22
68592,depo.ua,Office of the Prosecutor General,Ukraine,News,Regional News,3/19/22
68990,colta.ru,Office of the Prosecutor General,Russia,Cultural,Magazine,4/19/22
69090,bb.lv,Office of the Prosecutor General,Latvia,News,International News,3/16/22
69230,ukraine.ua,Office of the Prosecutor General,Ukraine,Government,Official Ukraine Website,4/15/22
69308,tayga.info,Office of the Prosecutor General,Russia,News,Regional News,3/30/22
69590,znaj.ua,Office of the Prosecutor General,Ukraine,News,National News,3/17/22
70082,terrikon.com,Office of the Prosecutor General,Ukraine,News,Specialist News,3/15/22
71017,rusplt.ru,Office of the Prosecutor General,Russia,News,Independent News,4/28/22
73428,dpsu.gov.ua,Office of the Prosecutor General,Ukraine,Government,State Border Guard Service,4/22/22
73580,kasparov.ru,Office of the Prosecutor General,Russia,News,Independent News,3/22/22
73892,golos-ameriki.ru,Office of the Prosecutor General,United States,News,Public Broadcaster,3/24/22
74686,news.bg,Office of the Prosecutor General,Bulgaria,News,International News,3/16/22
74876,republic.ru,Office of the Prosecutor General,Russia,News,Independent News,3/27/22
75143,ictv.ua,Office of the Prosecutor General,Ukraine,News,TV Channel,3/22/22
75415,israelinfo.co.il,Office of the Prosecutor General,Israel,News,International News,3/16/22
75880,ostro.org,Office of the Prosecutor General,Ukraine,News,Regional News,3/25/22
75971,antikor.com.ua,Office of the Prosecutor General,Ukraine,News,National News,4/17/22
77024,moscowtimes.ru,Office of the Prosecutor General,Russia,News,Independent News,3/27/22
77166,1plus1.ua,Office of the Prosecutor General,Ukraine,News,TV Channel,3/27/22
77609,forklog.com,Office of the Prosecutor General,Russia,News,Specialist News,4/23/22
78287,caliber.az,Office of the Prosecutor General,Azerbaijan,News,International News,4/23/22
78352,dsnews.ua,Office of the Prosecutor General,Ukraine,News,National News,4/29/22
78815,kurs.com.ua,Office of the Prosecutor General,Ukraine,News,Specialist News,2/24/22
78950,molbuk.ua,Office of the Prosecutor General,Ukraine,News,Local News,3/13/22
78971,detaly.co.il,Office of the Prosecutor General,Israel,News,International News,3/31/22
79082,comcb.info,Office of the Prosecutor General,Russia,News,Mirror (Kasparov.ru),4/20/22
79364,novayagazeta.eu,Office of the Prosecutor General,Russia,News,Mirror (Novaya Gazeta),4/20/22
80208,telegraf.by,Office of the Prosecutor General,Belarus,News,International News,5/24/22
80807,from-ua.com,Office of the Prosecutor General,Ukraine,News,National News,4/13/22
80853,informator.ua,Office of the Prosecutor General,Ukraine,News,National News,3/17/22
81598,nashaniva.com,Office of the Prosecutor General,Belarus,News,National News,3/27/22
83836,hvylya.net,Office of the Prosecutor General,Ukraine,News,National News,4/29/22
84534,defence-ua.com,Office of the Prosecutor General,Ukraine,News,Specialist News,6/27/22
88791,apsny.ge,Office of the Prosecutor General,Georgia,News,International News,4/20/22
89429,ubr.ua,Office of the Prosecutor General,Ukraine,News,Specialist News,3/27/22
90251,bb4cd6.site,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,5/7/22
91214,euroradio.fm,Office of the Prosecutor General,Belarus,News,Radio Station,4/19/22
91810,allkharkov.ua,Office of the Prosecutor General,Ukraine,News,Regional News,4/27/22
92050,interpressnews.ge,Office of the Prosecutor General,Georgia,News,Domestic News Agency,4/27/22
92289,glavnoe.ua,Office of the Prosecutor General,Ukraine,News,National News,4/25/22
92383,meteoprog.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,2/27/22
94255,golden.com,Office of the Prosecutor General,United States,Digital Resistance,Research,3/17/22
94360,castro.fm,Office of the Prosecutor General,Canada,Internet Radio & Podcasts,Podcasts,7/27/22
95262,politeka.net,Office of the Prosecutor General,Ukraine,News,National News,4/27/22
95283,paperpaper.ru,Office of the Prosecutor General,Russia,News,Local News,4/22/22
97128,vlasti.net,Office of the Prosecutor General,Ukraine,News,National News,3/26/22
98821,inforesist.org,Office of the Prosecutor General,Ukraine,News,National News,4/25/22
99115,voices.org.ua,Office of the Prosecutor General,Ukraine,Civil Society,Domestic Charity,3/17/22
99586,loda.gov.ua,Office of the Prosecutor General,Ukraine,Government,Military Regional Administration,5/30/22
101253,canal3.md,Office of the Prosecutor General,Moldova,News,TV Channel,5/21/22
101497,for-ua.com,Office of the Prosecutor General,Ukraine,News,National News,4/20/22
102286,football24.ua,Office of the Prosecutor General,Ukraine,News,Specialist News,3/15/22
104021,hromadske.radio,Office of the Prosecutor General,Ukraine,News,Radio Station,4/20/22
104033,ua.news,Office of the Prosecutor General,Ukraine,News,National News,3/27/22
104275,objectiv.tv,Office of the Prosecutor General,Ukraine,News,Local News,4/20/22
104279,fxpro.com,Office of the Prosecutor General,Cyprus,Financial,Foreign Exchange,3/31/22
106638,kavkaz-uzel.ru,Office of the Prosecutor General,Ukraine,News,Regional News,5/14/22
107137,readovka.news,Office of the Prosecutor General,Russia,News,Independent News,3/19/22
107773,bykvu.com,Office of the Prosecutor General,Ukraine,News,Independent News,7/27/22
109076,forumdaily.com,Office of the Prosecutor General,United States,News,Specialist News,3/27/22
109634,armyinform.com.ua,Office of the Prosecutor General,Ukraine,Government,Counter-propaganda,4/19/22
109651,compromat.ws,Office of the Prosecutor General,Russia,News,News Aggregator,7/25/22
110570,lragir.am,Office of the Prosecutor General,Armenia,News,International News,2/24/22
111313,gur.gov.ua,Office of the Prosecutor General,Ukraine,Government,Ministry (Defence - Intelligence Directorate),4/24/22
112244,evangelie.ru,Office of the Prosecutor General,Russia,Cultural,Religion,4/13/22
112439,newsyou.info,Office of the Prosecutor General,Ukraine,News,News Aggregator,4/18/22
113258,news.pn,Office of the Prosecutor General,Ukraine,News,National News,4/20/22
113566,novosti-n.org,Office of the Prosecutor General,Ukraine,News,Regional News,3/16/22
113665,zdg.md,Office of the Prosecutor General,Romania,News,International News,3/27/22
114357,vot-tak.tv,Office of the Prosecutor General,Russia,News,Independent News,3/15/22
114696,cripo.com.ua,Office of the Prosecutor General,Ukraine,News,Specialist News,4/7/22
115686,rubryka.com,Office of the Prosecutor General,Ukraine,News,National News,3/14/22
116478,prozoro.net.ua,Office of the Prosecutor General,Ukraine,News,Local News,3/22/22
116980,netpeak.net,Office of the Prosecutor General,Ukraine,Online Marketing,-,3/27/22
117114,aussiedlerbote.de,Office of the Prosecutor General,Germany,News,Specialist News,5/27/22
117529,bagnet.org,Office of the Prosecutor General,Ukraine,News,National News,3/13/22
120106,golos.com.ua,Office of the Prosecutor General,Ukraine,News,Public Broadcaster,3/31/22
120109,novyny.live,Office of the Prosecutor General,Ukraine,News,TV Channel,4/21/22
120761,detector.media,Office of the Prosecutor General,Ukraine,Civil Society,Media - Ethics,3/30/22
120771,allcrimea.net,Office of the Prosecutor General,Ukraine,News,Regional News,3/16/22
120872,minval.az,Office of the Prosecutor General,Azerbaijan,News,International News,3/21/22
121317,brd24.com,Office of the Prosecutor General,Ukraine,News,Local News,7/8/22
123246,mukachevo.net,Office of the Prosecutor General,Ukraine,News,Regional News,3/27/22
123332,trv-science.ru,Office of the Prosecutor General,Russia,News,Specialist News,4/28/22
123368,sakhalin.info,Office of the Prosecutor General,Russia,News,Local News,8/5/22
123684,tv.ua,Office of the Prosecutor General,Ukraine,News,Specialist News,4/23/22
125467,u-news.com.ua,Office of the Prosecutor General,Ukraine,News,News Aggregator,4/19/22
125503,lankaweb.com,Office of the Prosecutor General,Sri Lanka,Digital Resistance,Critical Content,7/27/22
126355,strana.news,Office of the Prosecutor General,Ukraine,News,National News,4/22/22
126754,mc.today,Office of the Prosecutor General,Ukraine,News,News Aggregator,3/16/22
126825,u24.gov.ua,Office of the Prosecutor General,Ukraine,Government,Fundraising,5/6/22
126905,ria-m.tv,Office of the Prosecutor General,Ukraine,News,Local News,3/31/22
129199,mind.ua,Office of the Prosecutor General,Ukraine,News,Specialist News,2/27/22
129811,golos.ua,Office of the Prosecutor General,Ukraine,News,National News,3/27/22
129945,newsmaker.md,Office of the Prosecutor General,Moldova,News,International News,4/20/22
129983,clutch.net.ua,Office of the Prosecutor General,Ukraine,News,Specialist News,6/16/22
130026,golosislama.com,Office of the Prosecutor General,Russia,News,Specialist News,4/26/22
130398,uainfo.org,Office of the Prosecutor General,Ukraine,News,Independent News,4/17/22
131043,ekhokavkaza.com,Office of the Prosecutor General,United States,News,Radio Free Europe/Radio Liberty,4/24/22
131179,sud.ua,Office of the Prosecutor General,Ukraine,News,Specialist News,5/25/22
132674,footboom.com,Office of the Prosecutor General,Ukraine,News,Specialist News,2/25/22
133491,057.ua,Office of the Prosecutor General,Ukraine,News,Local News,4/20/22
133615,rusjev.net,Office of the Prosecutor General,Ukraine,News,Specialist News,5/19/22
133732,prm.ua,Office of the Prosecutor General,Ukraine,News,TV Channel,5/31/22
134074,aif.ua,Office of the Prosecutor General,Ukraine,News,National News,4/19/22
134270,the-village.com.ua,Office of the Prosecutor General,Ukraine,Lifestyle,Critical Content,3/15/22
134498,nbnews.com.ua,Office of the Prosecutor General,Ukraine,News,National News,3/28/22
134778,lux.fm,Office of the Prosecutor General,Ukraine,News,Radio Station,4/22/22
135190,kloop.kg,Office of the Prosecutor General,Kyrgyzstan,Civil Society,Media - Youth Journalism,3/31/22
136141,uacrisis.org,Office of the Prosecutor General,Ukraine,Civil Society,Disinformation,4/13/22
136217,kino-teatr.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Ukraine Support Content,3/27/22
136236,visitukraine.today,Office of the Prosecutor General,Ukraine,Cultural,Tourism,3/15/22
136584,racurs.ua,Office of the Prosecutor General,Ukraine,News,National News,3/27/22
137221,socportal.info,Office of the Prosecutor General,Ukraine,News,Specialist News,4/19/22
137980,ukrainianwall.com,Office of the Prosecutor General,Ukraine,News,National News,4/28/22
138258,ipress.ua,Office of the Prosecutor General,Ukraine,News,News Aggregator,4/22/22
138467,faktor.bg,Office of the Prosecutor General,Bulgaria,News,News Aggregator,7/13/22
138480,eizvestia.com,Office of the Prosecutor General,Russia,News,National News,3/26/22
138795,123ru.net,Office of the Prosecutor General,Russia,News,News Aggregator,4/22/22
138798,svaboda.org,Office of the Prosecutor General,United States,News,Radio Free Europe/Radio Liberty,6/16/22
141335,kontrakty.ua,Office of the Prosecutor General,Ukraine,News,National News,4/19/22
143208,048.ua,Office of the Prosecutor General,Ukraine,News,Local News,4/23/22
143783,tyzhden.ua,Office of the Prosecutor General,Ukraine,News,National News,7/27/22
144627,infokava.com,Office of the Prosecutor General,Ukraine,News,News Aggregator,3/30/22
146167,qirim.news,Office of the Prosecutor General,Ukraine,News,Regional News,4/23/22
146819,eurotopics.net,Office of the Prosecutor General,Germany,News,International News,7/27/22
147373,mil.in.ua,Office of the Prosecutor General,Ukraine,News,Independent News,7/6/22
147577,uaportal.com,Office of the Prosecutor General,Ukraine,News,National News,3/16/22
148041,vikna.tv,Office of the Prosecutor General,Ukraine,News,TV Channel,5/14/22
148252,razomforukraine.org,Office of the Prosecutor General,Ukraine,Civil Society,Domestic Charity,4/20/22
149390,vchaspik.ua,Office of the Prosecutor General,Ukraine,News,National News,3/21/22
149467,risu.ua,Office of the Prosecutor General,Ukraine,News,Specialist News,4/19/22
149786,enovosty.com,Office of the Prosecutor General,Ukraine,News,National News,4/15/22
150378,novy.tv,Office of the Prosecutor General,Ukraine,News,TV Channel,3/27/22
150842,0352.ua,Office of the Prosecutor General,Ukraine,News,Local News,6/27/22
151150,newsvideo.su,Office of the Prosecutor General,Russia,News,National News,4/19/22
151580,ura-inform.com,Office of the Prosecutor General,Ukraine,News,News Aggregator,4/19/22
151866,ua-reporter.com,Office of the Prosecutor General,Ukraine,News,Regional News,3/27/22
152097,zerkalo.az,Office of the Prosecutor General,Azerbaijan,News,International News,3/15/22
152108,slidstvo.info,Office of the Prosecutor General,Ukraine,News,Independent News,5/6/22
153159,056.ua,Office of the Prosecutor General,Ukraine,News,Local News,5/19/22
153425,collaborator.pro,Office of the Prosecutor General,Cyprus,Digital Resistance,Ukraine Support Content,4/15/22
153503,elkrun.ru,Office of the Prosecutor General,Russia,News,News Aggregator,5/27/22
155427,informnapalm.org,Office of the Prosecutor General,Ukraine,News,Independent News,6/27/22
156980,7x7-journal.ru,Office of the Prosecutor General,Russia,News,Independent News,4/21/22
157465,armenianreport.com,Office of the Prosecutor General,Armenia,News,International News,4/26/22
157486,imag.one,Office of the Prosecutor General,Ukraine,News,News Aggregator,4/19/22
157610,guru.ua,Office of the Prosecutor General,Ukraine,News,Local News,5/30/22
158903,fkwallet.ru,Office of the Prosecutor General,Russia,Financial,Crypto,5/23/22
159396,nevsedoma.com.ua,Office of the Prosecutor General,Ukraine,News,News Aggregator,7/5/22
159506,200rf.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,2/27/22
161855,galinfo.com.ua,Office of the Prosecutor General,Ukraine,News,Local News,3/15/22
162545,vesti-ua.net,Office of the Prosecutor General,Ukraine,News,National News,4/27/22
163600,realist.online,Office of the Prosecutor General,Ukraine,News,National News,4/20/22
163773,myc.news,Office of the Prosecutor General,Ukraine,News,National News,4/20/22
164270,gazetaby.com,Office of the Prosecutor General,Belarus,News,International News,4/16/22
164749,poltava.to,Office of the Prosecutor General,Ukraine,News,Local News,3/17/22
165127,land-fx.com,Office of the Prosecutor General,United Kingdom,Financial,Foreign Exchange,4/18/22
165180,atr.ua,Office of the Prosecutor General,Ukraine,News,TV Channel,4/19/22
165806,strana.today,Office of the Prosecutor General,Ukraine,News,National News,3/16/22
165977,62.ua,Office of the Prosecutor General,Ukraine,News,Local News,3/31/22
166231,crimea-news.info,Office of the Prosecutor General,Ukraine,News,Regional News,4/19/22
166350,saqofat.com,Office of the Prosecutor General,Russia,Cultural,Religion,6/21/22
166500,investigator.org.ua,Office of the Prosecutor General,Ukraine,News,National News,4/23/22
167715,russiawarcrimes.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Counter-propaganda,4/20/22
169634,narodna-pravda.ua,Office of the Prosecutor General,Ukraine,News,National News,4/28/22
170580,facenews.ua,Office of the Prosecutor General,Ukraine,News,National News,4/22/22
171297,capital.ua,Office of the Prosecutor General,Ukraine,News,Specialist News,4/30/22
171345,evangelie.eu,Office of the Prosecutor General,Russia,Cultural,Religion,4/20/22
171705,goloskarpat.info,Office of the Prosecutor General,Ukraine,News,Regional News,3/31/22
171717,fkiev.com,Office of the Prosecutor General,Ukraine,Digital Resistance,Critical Content,7/27/22
