Rank,Domain,Banning Authority,Locale,Type of site,Subcategory,Date blocked
450838,kraina.in.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
451042,elitesport.in.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
451252,aromati.in.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
451894,greencredit.in.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
451991,gelish.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,5/27/22
452053,medservise.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
452208,uniticket.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,3/13/22
452345,freelancework.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
452573,beliano.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
452600,perinatal-mariupol.in.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,3/27/22
452607,euro-asian.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
452721,niceweb.in.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
453147,choicemobile.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
453184,dominique.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,5/27/22
453309,paremo.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
453378,grande-premiere.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
453430,bestbooks.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
453663,forise.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
453679,girlhunter.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
453733,arenda-samoleta.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,3/27/22
453735,bezproblem.in.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
453860,taxibus.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
454054,kpbl.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
454057,sorento.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
454078,atlant-dim.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
454083,liro.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
454093,saki-tanger.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,5/27/22
454103,gourmetclub.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
454224,pmschool.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
454385,bbbparts.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
454398,liontour.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
454427,fregat-hotel.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
454432,coral-club.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
454462,mamzel.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
454518,newflora.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
454550,gorodrabot.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
454556,centr-svitla.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
454565,lidiavas.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
454573,lookin.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
454602,autosky.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,5/27/22
454629,deprimo.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
454632,mariupolua.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,3/20/22
454726,gdzshka.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,3/31/22
454765,bpnew.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
454817,konstavto.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
454818,poltavaua.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/22/22
454820,brobank.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
454949,referatbank.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,3/17/22
454952,opora-eb.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
454977,politnews.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
455093,distributor.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
455098,artiskdesign.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
455130,elitmaster.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
455138,hersonua.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
455204,pellet.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
455243,rov.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,5/27/22
455339,epitex.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,5/27/22
455351,dolgolet.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
455359,nikolaevua.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
455367,melturbo.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
455493,agrobor.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
455524,drema.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
455614,labelle.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
455633,bestjob.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
455657,la-cantina.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
455687,airavto.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
455807,pavelbarbul.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
455837,phl2006.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/20/22
455888,fito-life.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
455924,1stolica.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/19/22
456021,elit-style.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
456022,gog.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,4/26/22
456104,ofelia.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,5/27/22
456106,alexbrey.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,5/27/22
456160,kyivbox.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/24/22
456175,amirexpress.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
456244,ac-deko.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
456269,bioaqua.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
456393,cua.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
456533,cyberarena.com.ua,Office of the Prosecutor General,Ukraine,Digital Resistance,Site Hijack,6/23/22
